GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerCommonGoal,0,73,0,8,0,13,0,10,0,6
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerLobbyView,0,84,1,23,0,8,1,16,0,5
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerGame,0,323,2,34,0,50,2,33,0,17
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerLobby,0,102,0,10,0,17,0,12,0,7
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerGameAndController,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerLobbyAndController,0,9,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.model,ServerPlayer,0,170,1,15,0,26,1,17,0,10
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,PersonalGoal,0,2052,0,6,0,28,0,21,0,18
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Shelfie,0,653,0,76,0,100,0,71,0,33
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,MappedProvider,0,135,0,4,0,23,0,16,0,14
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,SerializableProperty.ObserverBody,4,49,2,2,2,9,2,6,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Color,0,39,0,0,0,7,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Tile,0,57,0,6,0,15,0,10,0,7
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Provider,0,6,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,SerializableProperty.ObserverInsertion,0,33,0,4,0,7,0,4,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,CommonGoal,0,74,0,8,0,13,0,10,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,LobbyPlayer,0,82,0,10,0,16,0,12,0,7
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Player,0,195,0,18,0,29,0,20,0,11
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Property,0,11,0,0,0,4,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Type.ImmutableColorMatrix,0,13,0,0,0,4,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Type,0,1975,0,0,0,21,0,5,0,5
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,LobbyView,0,20,0,4,0,2,0,3,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Game,0,439,0,40,0,65,0,43,0,23
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,TileAndCoords,0,19,0,0,0,2,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,GameView,0,5,0,0,0,1,0,1,0,1
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,SerializableProperty,0,192,0,10,0,42,0,17,0,12
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,PropertyProxy,0,58,0,2,0,20,0,11,0,10
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,UserMessage,0,110,0,12,0,13,0,12,0,6
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Board,0,1810,0,114,0,91,0,91,0,33
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,BoardCoord,0,16,0,0,0,3,0,2,0,2
JaCoCo Aggregate Report/PSP031-common,it.polimi.ingsw.model,Lobby,0,186,0,16,0,32,0,22,0,14
