GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.rmi,RmiClientNetManager,33,176,4,4,5,45,8,9,5,8
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.rmi,RmiClientNetManager.InterceptingFactory,5,31,1,1,1,7,1,3,0,3
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.rmi,RmiGameClientUpdater,0,4,0,0,0,2,0,1,0,1
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.rmi,RmiHeartbeatClientHandler,9,109,2,4,4,28,3,8,1,7
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.rmi,RmiLobbyClientUpdater,7,30,0,0,2,7,0,3,0,3
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,ClientSocketManagerImpl.new ThreadFactory() {...},0,21,0,0,0,5,0,2,0,2
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,SocketGameClientUpdater,12,133,1,12,2,31,1,13,0,3
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,SocketGameClientController,12,26,0,0,4,9,0,3,0,3
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,SocketLobbyClientUpdater,13,89,3,6,2,17,3,6,0,3
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,SocketClientNetManager,110,291,4,13,29,79,9,16,5,11
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,SocketClientHeartbeatHandler,4,56,1,1,1,17,2,3,1,3
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,ClientSocketManagerImpl,20,34,0,2,7,10,4,5,4,4
JaCoCo Aggregate Report/PSP031-client,it.polimi.ingsw.client.network.socket,SocketLobbyController,12,24,0,0,4,9,0,3,0,3
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketHeartbeatHandler,0,37,1,3,0,13,1,4,0,3
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketConnectionServerController.PlayerConnection,8,138,4,12,2,45,4,13,0,9
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketServerGameController,88,104,9,4,15,27,5,9,0,7
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketServerLobbyController,13,65,2,3,2,17,2,5,0,4
JaCoCo Aggregate Report/PSP031-server,it.polimi.ingsw.server.socket,SocketConnectionServerController,78,365,4,8,23,86,6,20,2,18
